ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
PHL,Philippines,2020,Philippines: tornado - sultan kudarat (lambayong) - 22/09/2020,2020-09-22,80,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: whirlwind - misamis occidental (tudela) - 05/08/2020,2020-08-05,460,Weather related,Storm,Tornado
PHL,Philippines,2020,"Philippines: tornado, western visayas (antique, san jose) - 06/11/2020",2020-11-06,93,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: dry mass movement - negros occidental (bago) -  24/06/2020,2020-06-24,76,Geophysical,Dry mass movement,Dry mass movement
PHL,Philippines,2021,Philippines; palau: typhoon surigae/bising - countrywide - 12/04/2021,2021-04-12,152000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2021,"Philippines, palau, viet nam: typhoon rai (locally known as odette) - 9 regions (phl), countrywide (plw), quang ngai, quang nam nd phu yen (vnm) - 11/12/2021",2021-12-11,3915000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2021,"Philippines: flood - visayas (negros occidental/city of escalante,sagay city) - 14/02/2021",2021-02-14,240,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [effects of shear line] - region viii - 11/12/2021,2021-12-11,1900,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - western visaya (negros occidental/talisay) - 07/02/2021,2021-02-07,280,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - eastern visayas (4 provinces) - 10/01/2021,2021-01-10,14000,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: strong wind - south cotabato (tupi) - 28/06/2021,2021-06-28,4,Weather related,Storm,Storm
PHL,Philippines,2021,"Philippines: storm - caraga (dinagat island, surigao del norte) - 13/01/2021",2021-01-13,1900,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: storm - south cotabato (tupi) - 07/05/2021,2021-05-07,63,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: whirlwind - marawi city - 02/05/2021,2021-05-02,85,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: strong winds - zamboanga sibugay (olutanga) - 27/06/2021,2021-06-27,150,Weather related,Storm,Storm
