Year,Factor,Value
1788,Other Industry CO2,0.0
1789,Cement CO2,0.0
1789,Coal CO2,0.019170000000000003
1789,Gas CO2,0.0
1789,Oil CO2,0.0
1789,Flaring CO2,0.0
1789,Other Industry CO2,0.0
1790,Cement CO2,0.0
1790,Coal CO2,0.019177
1790,Gas CO2,0.0
1790,Oil CO2,0.0
1790,Flaring CO2,0.0
1790,Other Industry CO2,0.0
1791,Cement CO2,0.0
1791,Coal CO2,0.02142
1791,Gas CO2,0.0
1791,Oil CO2,0.0
1791,Flaring CO2,0.0
1791,Other Industry CO2,0.0
1792,Cement CO2,0.0
1792,Coal CO2,0.021896000000000002
1792,Gas CO2,0.0
1792,Oil CO2,0.0
1792,Flaring CO2,0.0
1792,Other Industry CO2,0.0
1793,Cement CO2,0.0
1793,Coal CO2,0.021914000000000003
1793,Gas CO2,0.0
1793,Oil CO2,0.0
1793,Flaring CO2,0.0
1793,Other Industry CO2,0.0
1794,Cement CO2,0.0
1794,Coal CO2,0.021881
1794,Gas CO2,0.0
1794,Oil CO2,0.0
1794,Flaring CO2,0.0
1794,Other Industry CO2,0.0
1795,Cement CO2,0.0
1795,Coal CO2,0.021892
1795,Gas CO2,0.0
1795,Oil CO2,0.0
1795,Flaring CO2,0.0
1795,Other Industry CO2,0.0
1796,Cement CO2,0.0
1796,Coal CO2,0.022951
1796,Gas CO2,0.0
1796,Oil CO2,0.0
1796,Flaring CO2,0.0
1796,Other Industry CO2,0.0
1797,Cement CO2,0.0
1797,Coal CO2,0.024094
1797,Gas CO2,0.0
1797,Oil CO2,0.0
1797,Flaring CO2,0.0
1797,Other Industry CO2,0.0
1798,Cement CO2,0.0
1798,Coal CO2,0.025095
1798,Gas CO2,0.0
1798,Oil CO2,0.0
1798,Flaring CO2,0.0
1798,Other Industry CO2,0.0
1799,Cement CO2,0.0
1799,Coal CO2,0.026428
1799,Gas CO2,0.0
1799,Oil CO2,0.0
1799,Flaring CO2,0.0
1799,Other Industry CO2,0.0
1800,Cement CO2,0.0
1800,Coal CO2,0.028092
1800,Gas CO2,0.0
1800,Oil CO2,0.0
1800,Flaring CO2,0.0
1800,Other Industry CO2,0.0
1801,Cement CO2,0.0
1801,Coal CO2,0.027960000000000002
1801,Gas CO2,0.0
1801,Oil CO2,0.0
1801,Flaring CO2,0.0
1801,Other Industry CO2,0.0
1802,Cement CO2,0.0
1802,Coal CO2,0.036783
1802,Gas CO2,0.0
1802,Oil CO2,0.0
1802,Flaring CO2,0.0
1802,Other Industry CO2,0.0
1803,Cement CO2,0.0
1803,Coal CO2,0.031488
1803,Gas CO2,0.0
1803,Oil CO2,0.0
1803,Flaring CO2,0.0
1803,Other Industry CO2,0.0
1804,Cement CO2,0.0
1804,Coal CO2,0.03431
1804,Gas CO2,0.0
1804,Oil CO2,0.0
1804,Flaring CO2,0.0
1804,Other Industry CO2,0.0
1805,Cement CO2,0.0
1805,Coal CO2,0.033419
1805,Gas CO2,0.0
1805,Oil CO2,0.0
1805,Flaring CO2,0.0
1805,Other Industry CO2,0.0
1806,Cement CO2,0.0
1806,Coal CO2,0.035046
1806,Gas CO2,0.0
1806,Oil CO2,0.0
1806,Flaring CO2,0.0
1806,Other Industry CO2,0.0
1807,Cement CO2,0.0
1807,Coal CO2,0.036874000000000004
1807,Gas CO2,0.0
1807,Oil CO2,0.0
1807,Flaring CO2,0.0
1807,Other Industry CO2,0.0
1808,Cement CO2,0.0
1808,Coal CO2,0.035064
1808,Gas CO2,0.0
1808,Oil CO2,0.0
1808,Flaring CO2,0.0
1808,Other Industry CO2,0.0
1809,Cement CO2,0.0
1809,Coal CO2,0.03509
1809,Gas CO2,0.0
1809,Oil CO2,0.0
1809,Flaring CO2,0.0
1809,Other Industry CO2,0.0
1810,Cement CO2,0.0
1810,Coal CO2,0.037380000000000004
1810,Gas CO2,0.0
1810,Oil CO2,0.0
1810,Flaring CO2,0.0
1810,Other Industry CO2,0.0
1811,Cement CO2,0.0
1811,Coal CO2,0.039582
1811,Gas CO2,0.0
1811,Oil CO2,0.0
1811,Flaring CO2,0.0
1811,Other Industry CO2,0.0
1812,Cement CO2,0.0
1812,Coal CO2,0.041006999999999995
1812,Gas CO2,0.0
1812,Oil CO2,0.0
1812,Flaring CO2,0.0
1812,Other Industry CO2,0.0
1813,Cement CO2,0.0
1813,Coal CO2,0.04122
1813,Gas CO2,0.0
1813,Oil CO2,0.0
1813,Flaring CO2,0.0
1813,Other Industry CO2,0.0
1814,Cement CO2,0.0
1814,Coal CO2,0.042129
1814,Gas CO2,0.0
1814,Oil CO2,0.0
1814,Flaring CO2,0.0
1814,Other Industry CO2,0.0
1815,Cement CO2,0.0
1815,Coal CO2,0.043488
1815,Gas CO2,0.0
1815,Oil CO2,0.0
1815,Flaring CO2,0.0
1815,Other Industry CO2,0.0
1816,Cement CO2,0.0
1816,Coal CO2,0.047665
1816,Gas CO2,0.0
1816,Oil CO2,0.0
1816,Flaring CO2,0.0
1816,Other Industry CO2,0.0
1817,Cement CO2,0.0
1817,Coal CO2,0.049430999999999996
1817,Gas CO2,0.0
1817,Oil CO2,0.0
1817,Flaring CO2,0.0
1817,Other Industry CO2,0.0
1818,Cement CO2,0.0
1818,Coal CO2,0.049644
1818,Gas CO2,0.0
1818,Oil CO2,0.0
1818,Flaring CO2,0.0
1818,Other Industry CO2,0.0
1819,Cement CO2,0.0
1819,Coal CO2,0.049948
1819,Gas CO2,0.0
1819,Oil CO2,0.0
1819,Flaring CO2,0.0
1819,Other Industry CO2,0.0
1820,Cement CO2,0.0
1820,Coal CO2,0.050688000000000004
1820,Gas CO2,0.0
1820,Oil CO2,0.0
1820,Flaring CO2,0.0
1820,Other Industry CO2,0.0
1821,Cement CO2,0.0
1821,Coal CO2,0.051435
1821,Gas CO2,0.0
1821,Oil CO2,0.0
1821,Flaring CO2,0.0
1821,Other Industry CO2,0.0
1822,Cement CO2,0.0
1822,Coal CO2,0.053465000000000006
1822,Gas CO2,0.0
1822,Oil CO2,0.0
1822,Flaring CO2,0.0
1822,Other Industry CO2,0.0
1823,Cement CO2,0.0
1823,Coal CO2,0.056549999999999996
1823,Gas CO2,0.0
1823,Oil CO2,0.0
1823,Flaring CO2,0.0
1823,Other Industry CO2,0.0
1824,Cement CO2,0.0
1824,Coal CO2,0.058525
1824,Gas CO2,0.0
1824,Oil CO2,0.0
1824,Flaring CO2,0.0
1824,Other Industry CO2,0.0
1825,Cement CO2,0.0
1825,Coal CO2,0.060756
1825,Gas CO2,0.0
1825,Oil CO2,0.0
1825,Flaring CO2,0.0
1825,Other Industry CO2,0.0
1826,Cement CO2,0.0
1826,Coal CO2,0.06142
1826,Gas CO2,0.0
1826,Oil CO2,0.0
1826,Flaring CO2,0.0
